"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","03/16/2013","15:34:38","","End Tag [cfabort] is not allowed, for this tag only a Start Tag is allowed"
"ERROR","web-0","03/16/2013","15:34:53","","No matching function [MODE] found"
"ERROR","web-0","03/16/2013","15:35:04","","invalid component definition, can't find panoramicam.wheels.Connection"
"ERROR","web-0","03/16/2013","17:48:27","","key [dbmigrate] doesn't exist in struct (keys:)"
"ERROR","web-0","03/16/2013","17:48:59","","key [NAME] doesn't exist in struct (keys:ROUTE,action,controller,view)"
"ERROR","web-0","03/16/2013","18:10:42","","Attribute variables is not allowed for tag cfoutput; valid attribute names are [query,group,groupcasesensitive,startrow,maxrows,endrow]"
"ERROR","web-0","03/16/2013","18:10:55","","Attribute variables is not allowed for tag cfoutput; valid attribute names are [query,group,groupcasesensitive,startrow,maxrows,endrow]"
"ERROR","web-0","03/16/2013","18:11:05","","Attribute variables is not allowed for tag cfoutput; valid attribute names are [query,group,groupcasesensitive,startrow,maxrows,endrow]"
"ERROR","web-0","03/16/2013","18:11:20","","Can't cast Complex Object Type Struct to String; Use Built-In-Function ""serialize(Struct):String"" to create a String from Struct"
"ERROR","web-0","03/16/2013","18:23:33","","invalid component definition, can't find panoramicam.wheels.Connection"
"ERROR","web-0","03/16/2013","18:26:00","","java.lang.NullPointerException"
"ERROR","web-0","03/16/2013","18:26:00","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:26:04","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:26:09","","key [passwordserver] doesn't exist in struct (keys:)"
"ERROR","web-0","03/16/2013","18:26:19","","java.lang.NullPointerException"
"ERROR","web-0","03/16/2013","18:26:20","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:26:31","","java.lang.NullPointerException"
"ERROR","web-0","03/16/2013","18:26:32","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:27:47","","java.lang.NullPointerException"
"ERROR","web-0","03/16/2013","18:27:47","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:28:20","","key [WHEELS] doesn't exist in struct (keys:applicationname)"
"ERROR","web-0","03/16/2013","18:36:35","","Invalid Syntax Closing [)] for function [startFormTag] not found"
"ERROR","web-0","03/16/2013","18:37:03","","Can't cast Object type [user defined function (endFormTag)] to a value of type [string]; Java type of the object is railo.runtime.type.UDFImpl"
"ERROR","web-0","03/16/2013","18:53:59","","key [USER] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","03/16/2013","18:54:19","","key [USER] doesn't exist in struct (keys:action,controller)"
"ERROR","web-0","03/16/2013","18:56:59","","The parameter parameterize to function $save is required but was not passed in."
"ERROR","web-0","03/16/2013","18:57:24","","No value specified for parameter 5"
"ERROR","web-0","03/16/2013","18:58:33","","No value specified for parameter 5"
"ERROR","web-0","03/16/2013","19:07:29","","component [models.Person] has no  function with name [$initModelClass]"
"ERROR","web-0","03/16/2013","19:07:36","","component [models.Person] has no  function with name [$initModelClass]"
"ERROR","web-0","03/16/2013","19:10:05","","key [email] doesn't exist in struct (keys:onUpdate,onCreate,onSave)"
"ERROR","web-0","03/16/2013","19:24:17","","tag [cfset] is not closed"
